ID,Sentence DE,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
5,"Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.",15.220000000000002,17.300999999999995,18.586923100000007,21.565000000000012,12.0,60.0,10.745966692414834,8.0,10.155000000000001,6.1,1.95,20.0,1.0,1.0,122.0,39.0,20.0,20.0,1.0,1.0,8.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
993,"Diese trennte alle Bereiche des täglichen Lebens in schwarz und weiß: Schulen, Kirchen, öffentliche Gebäude, Busse und Züge, selbst Toiletten und Waschbecken.",12.83545454545455,17.615909090909092,17.866159681818182,42.22318181818183,12.436363636363637,67.45454545454545,10.745966692414834,10.0,14.058154545454547,5.954545454545454,1.6818181818181819,22.0,1.0,0.9090909090909091,131.0,37.0,22.0,20.0,1.0,1.0,10.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Hippokrates war ein bekannter Befürworter der Kaltwasserbehandlungen.,22.540000000000003,23.78714285714286,32.05112200000001,-54.06999999999997,8.514285714285714,64.14285714285714,8.477225575051662,4.0,13.006557142857144,8.857142857142858,3.0,7.0,1.0,1.0,62.0,21.0,7.0,7.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,In nichtvulkanischen Gebieten können die Temperaturen im Untergrund sehr unterschiedlich sein.,16.590909090909097,19.60909090909091,25.875591727272734,-4.2936363636363595,11.672727272727274,56.45454545454545,10.745966692414834,5.0,11.359372727272728,7.545454545454546,2.3636363636363638,11.0,1.0,1.0,83.0,26.0,11.0,11.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
691,Churchills Großvater väterlicherseits gehörte als Duke of Marlborough dem britischen Hochadel an.,14.656666666666666,17.932499999999997,23.382533916666674,11.355000000000025,11.466666666666667,70.33333333333334,10.745966692414834,7.0,16.0742,7.083333333333333,2.1666666666666665,12.0,1.0,1.0,85.0,26.0,12.0,12.0,1.0,1.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Häufig enthielten sie nur ein Waschbecken in Hüfthöhe.,8.180000000000003,9.6525,14.309929250000007,50.66500000000003,8.200000000000001,45.5,8.477225575051662,3.0,9.954550000000001,5.75,1.75,8.0,1.0,1.0,46.0,14.0,8.0,8.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,"Andere Polyeder haben verschiedene Typen möglicher Landeflächen, wodurch sich deren Landewahrscheinlichkeiten unterscheiden können.",21.249230769230774,27.46,34.84191038461539,-34.129230769230766,14.430769230769233,66.84615384615384,12.486832980505138,7.0,13.998223076923077,9.0,2.6923076923076925,13.0,1.0,1.0,117.0,35.0,13.0,13.0,1.0,1.0,7.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,"Auch wurden viele Personen nicht mit dem Friedensnobelpreis gewürdigt, die ihn in der öffentlichen Wahrnehmung verdient hätten.",13.945882352941176,17.269411764705886,20.158988882352944,25.356470588235307,11.505882352941178,52.294117647058826,10.745966692414834,6.0,8.19499411764706,6.411764705882353,1.9411764705882353,17.0,1.0,1.0,109.0,33.0,17.0,17.0,1.0,1.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
682,"Mit seiner Weigerung, in Verhandlungen mit Hitler einzutreten, und mit seinen Reden stärkte er in den kritischen Monaten des Frühjahrs und Sommers 1940 den britischen Widerstandswillen.",17.242307692307694,20.011153846153846,18.56647780769231,17.75269230769233,15.015384615384617,64.46153846153845,12.486832980505138,10.0,11.606484615384616,6.038461538461538,1.9230769230769231,26.0,1.0,0.8461538461538461,157.0,50.0,26.0,22.0,1.0,1.0,10.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
347,"Einige Veränderungen der Umwelt, die Menschen und Ökosysteme gemeinsam betreffen, sind schon wahrzunehmen.",13.98769230769231,18.04,23.082208384615384,17.93230769230771,14.430769230769233,59.15384615384615,12.486832980505138,6.0,10.354376923076924,7.0,2.076923076923077,13.0,1.0,1.0,91.0,27.0,13.0,13.0,1.0,1.0,6.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
