ID,Sentence DE,MOS,Sentence EN
3,"Etwa 5000 Jahre ist es her, seit die Sumerer das Sieden von Seife erfanden.",1.888888889,It's been about 5000 years since the Sumerians invented boiling soap.
4,Als Nebenprodukt entstand damals natürlich auch die erste Seifenblase.,1.6,"As a by-product, of course, the first soap bubble was created back then."
5,"Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.",4.428571429,"Because of this slight transience, 'soap bubble' has become a metaphor for something that is attractive, yet devoid of content and substance."
6,"Dies spiegelt sich zum Beispiel in der Redewendung „Der Traum zerplatzte wie eine Seifenblase“ oder im Synonym ,Seifenblasenwirtschaft‘ für Bubble Economy.",3.3,"This is reflected, for example, in the phrase ""the dream burst like a soap bubble"" or in the synonym 'bubble economy' for bubble economy."
7,In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.,4.0,"In art, at least since the Baroque period, the soap bubble has been consistently used iconographically as a vanitas symbol, reflecting both the beauty and the fleetingness of human life."
8,"Seifenblasen lösen auf physikalische Weise komplexe räumliche Probleme in der Mathematik, da sie im Gleichgewichtszustand die kleinste Oberfläche zwischen Punkten und Kanten bilden.",3.444444444,"Soap bubbles solve complex spatial problems in mathematics in a physical way, since they form the smallest surface between points and edges in a state of equilibrium."
9,"Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.",5.0,"Soap bubbles consist of a thin (dipolar) water film to which soap molecules are attached on the inside and outside with a polar, hydrophilic carboxylate group facing the water and a nonpolar, hydrophobic alkyl group facing away from the water."
10,"Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.",3.444444444,"The structure is similar to that of biomembranes, but in soap bubbles the water is inside the membrane, not outside."
11,"Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.",2.9,A soap bubble is formed when a thin film of water mixes with soap molecules.
12,Beim Aufblasen entsteht eine Kugelform.,1.666666667,"When inflated, a spherical shape is created."
13,Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.,4.833333333,"As a result of gravitational leakage (drainage) of the liquid between the soap film surfaces, a soap bubble progressively thins out in its upper part."
15,"Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.",5.7,"Moreover, in the course of the discharge process, an accumulation of soap film- stabilizing surfactant molecules occurs in the lower region of the soap bubble, so that its upper region is additionally destabilized as a result of the relative lack of surfactant molecules adsorbed to the surface."
16,Tatsächlich platzen die meisten Seifenblasen im oberen Teil.,2.666666667,"In fact, most soap bubbles burst in the upper part."
