ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
1;gbert;0.5435528043113905;0.021137473501833575;0.4647207341885159;0.036034989455871684;0.6812021133023521;0.026174417301027333
2;gbert;0.5288056238595741;0.01506345435186874;0.4361422773400779;0.02427657466885824;0.660157832335722;0.018282450434023132
3;gbert;0.5254578099371777;0.012345616506641581;0.42793407023225566;0.019643870761018926;0.6539962584762522;0.014939455098428079
4;gbert;0.5238278834024652;0.010654362642117525;0.42344000472227356;0.016267725028355502;0.650603164835566;0.01247727175829075
5;gbert;0.5218709496861547;0.009525618572999356;0.4204673328710392;0.014819812896347786;0.6483344074796232;0.01139995210490095
6;gbert;0.5209298502674006;0.008882625676658543;0.41760527446313006;0.01299979993556532;0.6461459768201725;0.010037522308304167
7;gbert;0.520340689783763;0.008018143277171052;0.41618579632885166;0.012005454610827401;0.6450577977252903;0.009290868791051768
8;gbert;0.520365270006417;0.007729645580213037;0.41588163734237843;0.01175740221453655;0.6448247090175893;0.009100263598231297
9;gbert;0.5198859376153274;0.007441372534660175;0.41495451809592554;0.011195738793886393;0.6441111959920126;0.008681051452423235
10;gbert;0.519797653952939;0.006905706063181212;0.4147612327562081;0.01040551800407499;0.6439690262845923;0.008074102638352303
11;gbert;0.5196300148043492;0.006225919337608646;0.41414799972024047;0.009721572568889924;0.6434991163299504;0.007546121305711961
12;gbert;0.5192121734505079;0.006095234675763296;0.4131463502574867;0.00924774975638234;0.6427244668900745;0.007187599038349192
13;gbert;0.5193101922023728;0.00596353341193364;0.4132721486012044;0.009122675306651534;0.6428233954346666;0.0070909212529549365
14;gbert;0.5193315411035226;0.005917188447490003;0.41276754683221883;0.00889490596323166;0.6424326507007161;0.006919828747905451
15;gbert;0.5192771805817614;0.00561154684543822;0.4127202332250583;0.008544278646446938;0.6423986939361764;0.006647965824444131
16;gbert;0.5189536215836233;0.005470589931282437;0.4120245602095355;0.008235430468160745;0.641859445321785;0.00640731725915933
17;gbert;0.5184363596263372;0.005411543803584556;0.4115957039138508;0.008160902575805339;0.6415258294465855;0.006352512978594017
18;gbert;0.5188034655288677;0.005050993640978566;0.41170856135322303;0.007622347735359109;0.6416177240357005;0.005940778511282673
19;gbert;0.5186320413593446;0.005035001834143632;0.41152238700161675;0.007408786144250731;0.6414741611931014;0.005772420988518467
20;gbert;0.518597795289496;0.004909431819901314;0.41126087086422625;0.0073391311644000765;0.6412707853687029;0.005716938010204062
21;gbert;0.5188376605425696;0.004934696326712676;0.41166813340165176;0.007536670776962951;0.6415868631390658;0.005870682578778248
22;gbert;0.5184614369381767;0.0045924692367838044;0.41099629460825127;0.006948327259681953;0.6410670617168738;0.005417225884235188
23;gbert;0.518759326024382;0.004516473510252917;0.4113065077361623;0.006845788181882347;0.6413096623462368;0.00533415135596878
24;gbert;0.5189192710350417;0.0045053915766194615;0.4112964756816583;0.006773120001067957;0.6413023039229371;0.005278117402448801
25;gbert;0.5185491769264997;0.004163844306979122;0.4107723501899811;0.006476918906746804;0.6408953403545575;0.005053557186477507
26;gbert;0.5184455469590848;0.004387926777258648;0.4106453109317174;0.00665169462184567;0.6407951463238597;0.005188284668337151
27;gbert;0.518387399654979;0.004254596236304767;0.410510364596234;0.006442290806653658;0.640691135354701;0.005025826605720468
28;gbert;0.5184853224543816;0.004075647695681548;0.4104960555815474;0.006039805370968789;0.6406823521056745;0.004711845007110428
29;gbert;0.5183719897938444;0.004139782266236295;0.4104305644899177;0.006053132308926276;0.6406311783355843;0.0047201816059352164
30;gbert;0.5182961025918197;0.0038547252003809673;0.4104095919581306;0.005822110055536981;0.6406160785261392;0.004544507065326707
31;gbert;0.5186150223387396;0.0038373223419990625;0.41074007722268857;0.0056939200535927135;0.6408747030886633;0.004439805804637468
32;gbert;0.5183709908742099;0.003994763405698096;0.4102456082469287;0.005899853643494558;0.6404876338569097;0.004606554422709968
33;gbert;0.5183527943084735;0.0038090513725923102;0.41025511176247315;0.0057426860296856674;0.6404959415566136;0.004481148588627624
34;gbert;0.5184648504818812;0.003640734910724703;0.41040143438537463;0.005552080594264523;0.6406111840476121;0.004331745896773352
35;gbert;0.5184269853351118;0.0035958978211094897;0.4101467018002895;0.005471757485759164;0.6404127459734887;0.004270225967422669
36;gbert;0.5184716270235636;0.0036176584256517423;0.41022197540649397;0.005525077979746652;0.6404712299265769;0.004312498170895368
37;gbert;0.5184778900404446;0.003529950086158564;0.4103582586998082;0.0053726564932322085;0.6405784042751472;0.004193359079929303
38;gbert;0.5182065736783209;0.003361607976983322;0.4101252834061476;0.005197578385750092;0.6403974045633339;0.004057597662655573
39;gbert;0.5183388276500984;0.0034217375449576057;0.4101087417027578;0.005342298376167041;0.6403837598441813;0.004171238403306379
40;gbert;0.5182460297972552;0.003453350661309307;0.40983482061492177;0.0052474007202425905;0.6401703235354436;0.004098081712543002
41;gbert;0.5181223724783799;0.0033746520690562123;0.4097944238113553;0.00518347583357986;0.6401390972950833;0.004046764373462802
