ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
1;Wechsel_BERT;0.5065774117800163;0.012218825504256797;0.3978834181764247;0.018613534132282446;0.6306103096685577;0.014637957027488177
2;Wechsel_BERT;0.5005793864591508;0.009013415091482803;0.38670396310789523;0.013887558597009986;0.6217559570765728;0.011118298622253484
3;Wechsel_BERT;0.4992555518411674;0.0071812962472153205;0.3833623136427723;0.011127963675701775;0.6190977890484237;0.008962229615738108
4;Wechsel_BERT;0.4982807075974926;0.006029046099299038;0.3810792775751989;0.009086230914721972;0.6172724651293744;0.007350877750874882
5;Wechsel_BERT;0.49747948331188113;0.005417926090488268;0.3800425225630152;0.00841043749587627;0.6164382879089813;0.00681220735358131
6;Wechsel_BERT;0.49707411259264445;0.004828167341694882;0.37878915499192956;0.007290005149344501;0.6154301000257185;0.005914554608640903
7;Wechsel_BERT;0.4969104028297446;0.00451415066326163;0.3784438594866202;0.006905870097619902;0.615152402594418;0.005604683881855082
8;Wechsel_BERT;0.49690901869053383;0.004148414279579031;0.37839322654562857;0.006349032306943317;0.6151151803615547;0.0051544158160066866
9;Wechsel_BERT;0.4967598557264664;0.004121750800857579;0.3779447026849501;0.006270535502739521;0.6147509549226983;0.005098244666568301
10;Wechsel_BERT;0.49662814437625663;0.0038269573583628843;0.37779807405489724;0.0059409575510200536;0.6146338530811642;0.004829495369395163
11;Wechsel_BERT;0.4965884761161601;0.003520472226072379;0.37761061023499115;0.005527967286943906;0.614483870431698;0.004494821207623763
12;Wechsel_BERT;0.49637904665098626;0.0032867096369596067;0.37728520879330313;0.005104221356241417;0.6142214441893352;0.0041525335406391055
13;Wechsel_BERT;0.49644706330219796;0.0033183970168026884;0.3773659687698412;0.005230450347073585;0.6142864727032239;0.00425632940603404
14;Wechsel_BERT;0.49630275433692966;0.003222645703962323;0.3769201475061717;0.005047015385608541;0.613924491262248;0.0041089436575099374
15;Wechsel_BERT;0.49645497589987947;0.003060448645640923;0.3771539221863616;0.0048963617065799735;0.6141156761980656;0.0039842575798277775
16;Wechsel_BERT;0.49618583883012357;0.0030389494359557806;0.376738794258134;0.004726014053034339;0.6137784718758859;0.003846624019978103
17;Wechsel_BERT;0.495942690780666;0.0029179998105868595;0.37657058801766385;0.0045569070985364436;0.613642279166861;0.0037087722436795704
18;Wechsel_BERT;0.4961481814898173;0.002816849841597842;0.3767090066908299;0.0044019425196084845;0.6137557915030204;0.003584401660630676
19;Wechsel_BERT;0.4960396028501569;0.0027211900013116956;0.37659220632960544;0.004138945734916714;0.6136618415390162;0.003370746279403864
20;Wechsel_BERT;0.49605017606515606;0.002723070912003596;0.37651790591674383;0.0041549259422076395;0.6136012234736269;0.003384660150574372
21;Wechsel_BERT;0.49618540631001645;0.0026359249954596496;0.3766385595623798;0.004072370212400815;0.613699901022608;0.003316933715009857
22;Wechsel_BERT;0.4959226013324928;0.002532104184400734;0.376285246465118;0.003909417886121864;0.6134126733106664;0.0031857237503869437
23;Wechsel_BERT;0.49626174757476305;0.0024223229789955224;0.3766718397742279;0.0038717700937165355;0.6137278747751591;0.003153639744554672
24;Wechsel_BERT;0.496191896974123;0.002425442079097321;0.376513354389019;0.0037776802586639824;0.6135991284942138;0.0030778845876934294
25;Wechsel_BERT;0.49605922322905355;0.0023281814030016563;0.3762959956488945;0.00370417678735634;0.6134222783245535;0.0030188105647961255
26;Wechsel_BERT;0.4959805775719822;0.002335844057837901;0.37626028592254906;0.003630866548141856;0.6133934658126915;0.002958170315641377
27;Wechsel_BERT;0.49593180451472274;0.0023525125735901617;0.37622696850172427;0.003638525513213055;0.6133662745802988;0.0029648776887542536
28;Wechsel_BERT;0.49600271344683433;0.002262062597379147;0.37624109888583895;0.003405869282165188;0.6133786770815322;0.0027758048636783933
29;Wechsel_BERT;0.4958750215085905;0.002275847214619601;0.3761388388529547;0.0034229404757810155;0.613295252821779;0.002789175276709218
30;Wechsel_BERT;0.4958871517792991;0.0021064115252840574;0.3761220363646987;0.0032120440174683434;0.6132823056776582;0.0026185423730042457
31;Wechsel_BERT;0.4960574098364632;0.002054732215172607;0.37638852033309705;0.0031353834580990425;0.6134997960381894;0.002554823148342343
32;Wechsel_BERT;0.4958860407521182;0.0021408637788192966;0.3761246709382408;0.0033323305125046543;0.6132840244119033;0.0027173007017193183
33;Wechsel_BERT;0.4958867132530535;0.0020809214650278044;0.3761509251878416;0.003301613589287976;0.6133055441822913;0.0026910787817746255
34;Wechsel_BERT;0.49595890209058235;0.0019984452586531815;0.37614895500034007;0.003162280829840943;0.6133044244621122;0.002577708307522292
35;Wechsel_BERT;0.4959323874629423;0.0019897448378767973;0.3760983106203581;0.003137858974574012;0.6132632170984852;0.002558069211777244
36;Wechsel_BERT;0.49593240864007493;0.0020210674868841984;0.37610325486219154;0.003178987128224003;0.6132671086384909;0.002591339309358832
37;Wechsel_BERT;0.496009669125401;0.0019030410713787485;0.37620568266767307;0.0030377219645516774;0.6133510871281184;0.002476432746452781
38;Wechsel_BERT;0.49589006176454115;0.0019028742534851172;0.3760760040256452;0.002992306733640207;0.6132455142766324;0.0024390970518088444
39;Wechsel_BERT;0.49589654387498155;0.0019017509442139971;0.37600442746163365;0.0030186953528089427;0.6131870643437132;0.0024612275012781855
40;Wechsel_BERT;0.4958322457025331;0.0018120615282942345;0.3758889833567352;0.002793977718001823;0.6130936269130973;0.002278856833607446
41;Wechsel_BERT;0.4957426336106549;0.0018817433848748912;0.3758497939568208;0.002942963466778605;0.6130612035872879;0.0024000777698282103
42;Wechsel_BERT;0.4958196959475208;0.0018413276348387762;0.37596242407491326;0.002818246410258546;0.6131534439431379;0.0022985950318034597
43;Wechsel_BERT;0.49575535445553504;0.0017900516088892732;0.3757418750360103;0.002763378946107595;0.612973735605337;0.002253790944385201
44;Wechsel_BERT;0.495816431469687;0.0018057933627579185;0.37594264001741856;0.0027959427055238373;0.6131373807414905;0.0022798141228743568
45;Wechsel_BERT;0.49580177379562523;0.0017413686020956824;0.37582701941020474;0.0027288437346989426;0.6130432877883913;0.0022252324516909175
46;Wechsel_BERT;0.49581630879996436;0.0017456253065967133;0.37582291415534863;0.0027389608168287807;0.6130399087363172;0.0022337057456267282
47;Wechsel_BERT;0.49584824577111497;0.0017188201157517732;0.3759044533667075;0.002652611995090984;0.613106662932101;0.002162848326712594
48;Wechsel_BERT;0.49578101290662036;0.0016746344069440485;0.37583736976629933;0.002568201202485377;0.6130521898756087;0.0020944311070007445
49;Wechsel_BERT;0.49588717514884934;0.0017223555745286207;0.37592623595217284;0.0026418441810299154;0.6131244575171484;0.0021541092499686677
50;Wechsel_BERT;0.49581595848145615;0.0016451452230210352;0.3759042521254291;0.0025844190404191443;0.6131066912490729;0.00210753713032891
51;Wechsel_BERT;0.4957562630914331;0.001647820293988822;0.37572810963540365;0.002583597586325412;0.612963026828903;0.00210756209172562
52;Wechsel_BERT;0.4958002683539896;0.0017086199610513461;0.3758329594122875;0.002536960706276964;0.6130486809698801;0.0020684418844027185
