ensemble_size;model_name;mean_absolute_error_mean;mean_absolute_error_std;mean_squared_error_mean;mean_squared_error_std;root_mean_squared_error_mean;root_mean_squared_error_std
1;gpt2_xl_wechsel_german;0.510249403180893;0.012554680064424076;0.409673140782046;0.01835282783579782;0.6398982903084031;0.014266126481735513
2;gpt2_xl_wechsel_german;0.5033812951731551;0.00903714988518265;0.39646030527846376;0.012209850649818697;0.6295768861113904;0.009661423075660938
3;gpt2_xl_wechsel_german;0.5012220816372142;0.007553561775795641;0.39197186353752556;0.010018039508227387;0.6260257517056153;0.007980314803882992
4;gpt2_xl_wechsel_german;0.5003667412323511;0.006489856544454559;0.38980073155895856;0.008428258877201415;0.6243038802934474;0.006741071988658843
5;gpt2_xl_wechsel_german;0.4994515902715854;0.006007664049393451;0.3882897664955111;0.007830492851724945;0.623097482946682;0.0062715686709086576
6;gpt2_xl_wechsel_german;0.4991799939908507;0.005294920900196605;0.38724241892686384;0.006782108578032648;0.6222642699899559;0.005443054985894041
7;gpt2_xl_wechsel_german;0.4992211380568503;0.005026433988736758;0.3870834897947418;0.0065098248891474805;0.6221384189277959;0.005225398889781435
8;gpt2_xl_wechsel_german;0.49892501094898684;0.004838295813877044;0.38642743875274893;0.006120303951182116;0.6216134448215636;0.004918145786369452
9;gpt2_xl_wechsel_german;0.4988449472275265;0.004350099694778663;0.38610794150517097;0.005489175385276333;0.6213601952884098;0.004412333283518009
10;gpt2_xl_wechsel_german;0.4984209535432072;0.004263231716439467;0.3855762924564562;0.005444611080358136;0.6209324680910009;0.00437969274987976
11;gpt2_xl_wechsel_german;0.4983775751626111;0.004081250648969507;0.3853089746125312;0.005128982947062822;0.6207188951754508;0.004128538425274132
12;gpt2_xl_wechsel_german;0.49847587028579976;0.0038911203190883604;0.3852416878024449;0.004839890903608032;0.6206661965292082;0.0038955697753228513
13;gpt2_xl_wechsel_german;0.49850661867179724;0.003768375933459895;0.38524401302897576;0.004800586193176559;0.620668269154194;0.003863628053431454
14;gpt2_xl_wechsel_german;0.49829476475497536;0.0034931525678774085;0.38474753698241776;0.004464634699181865;0.6202697984397543;0.0035954211126879958
15;gpt2_xl_wechsel_german;0.4984003502292937;0.0034998427088042123;0.3848998046253027;0.004381349938569979;0.6203929145752345;0.0035282600197107184
